bank,document url,country
"""Swedbank"" AS",https://www.swedbank.lv/static/pdf/about/governance/swedbank_risk_and_capital_adequacy_Q4_2020_ENG.pdf,Latvia
"AS ""SEB banka""",https://www.seb.lv/sites/default/files/web/files/webstorage/Parskati/Cap_Adequacy_SEB_Pillar3_2020_4quater_ENG.pdf,Latvia
"„Swedbank”, AB",https://www.swedbank.lt/static/pdf/about/finance/reports/2020_annual_report.pdf,Lithuania
AB SEB bankas,https://www.seb.lt/sites/default/files/web/pdf/Pillar%20III_SEB%20Lithuania_2020_EN%20final.pdf,Lithuania
Akcinė bendrovė Šiaulių bankas,https://sb.lt/uploads/media/616d1f76d6433/risk-management-report-2020.pdf,Lithuania
Aareal Bank AG,https://www.aareal-bank.com/fileadmin/04_Investoren/03_Other_PDF-files/2020/Offenlegungsbericht_2020_de_LCR-Korrektur_vom_13_Oktober_2021.pdf,Germany
Bayerische Landesbank,https://www.bayernlb.de/internet/media/de/ir/downloads_1/investor_relations_3/finanzberichte/2020_11/Offenlegungsbericht_2020.pdf,Germany
COMMERZBANK Aktiengesellschaft,https://www.commerzbank.com/media/aktionaere/service/archive/konzern/2021_4/Pillar_III_Disclosure_Report_2020.pdf,Germany
DekaBank Deutsche Girozentrale,https://www.deka.de/site/dekade_deka-gruppe_site/get/documents_E-1632282702/dekade/medienpool_dekade/deka_gruppe/de/Dokumente/Investor%20Relations/Finanzpublikationen/Offenlegungsberichte/DekaGruppe_Offenlegungsbericht_2020-12-31_DE.pdf,Germany
DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,https://www.apobank.de/dam/jcr:cca969e6-2e92-41fa-bae1-4292e46acae5/apobank-offenlegungsbericht-2020.pdf,Germany
DEUTSCHE BANK AKTIENGESELLSCHAFT,https://www.db.com/ir/de/download/Saeule_3_Bericht_Q4_2020.pdf,Germany
Deutsche Pfandbriefbank AG,https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/pflichtveroeffentlichungen/Disclosure_Report__31.12.2020__-__LCR_correction_of_18_October_2021_.pdf,Germany
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",https://www.dzbank.de/content/dzbank_de/de/home/unser_profil/investorrelations/berichte/2020.DownloadLink.download.html?download=9VJrEyDqQfoEnfnmYpc8QFy9k6dQjkeFjP14JAiFXLWA194dPXkZOqtTzc6YH_xR8O_i1JzwI2HrHcnysipr_gfgz9gO0zhl8-34x6x-rWs1BmD53aTV3VxQ25_SGa_Sx1TR5zSzcDw,Germany
Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,https://www.lbb.de/landesbank/de/10_Veroeffentlichungen/10_finanzberichte/025_Offenlegungsmeldungen/Offenlegung_2020_12_Erwerbsgesellschaft.pdf,Germany
Goldman Sachs Bank Europe SE,https://www.goldmansachs.com/disclosures/pdfs/gsbese-pillar-3-2020-english.pdf,Germany
Hamburg Commercial Bank AG,https://www.hcob-bank.de/media/pdf_3/investorrelations/geschaeftsber/2020_4/offenlegung_11/aktualisierung_1/offenlegungsbericht_per_31__dezember_2020_gemaess_teil_8_crr.pdf,Germany
HASPA Finanzholding,https://www.haspa-finanzholding.de/blob/86126/8556fbf753e01149b9c200e23ee569ad/HASPA_Finanzholding_Offenlegungsbericht_2020.pdf,Germany
J.P. Morgan AG,https://jpmorganchaseco.gcs-web.com/static-files/f1453cca-a214-4797-91f3-235460c7fa98,Germany
Landesbank Baden-Württemberg,https://www.lbbw.de/konzern/investor-relations/finanzberichte/offenlegungsberichte/2020/lbbw_disclosure_report_q2_2020_ac1vxz8wmk_m.pdf,Germany
Landesbank Hessen-Thüringen Girozentrale,https://www.helaba.com/media/docs/de/informationen-fuer/investoren/veroeffentlichungen/offenlegungs-und-verguetungsbericht/offenlegung/offenlegungsbericht-2020.pdf,Germany
